travelCosts,improvements,steps,pI,pR,maxCosts
93.36270928741386,0.0,0,0.01,0.0001,2.0
92.05124900618947,28.17912085980986,200,0.01,0.0001,2.0
90.89947240104695,53.486241659348806,400,0.01,0.0001,2.0
89.7421337820977,78.21261500323799,600,0.01,0.0001,2.0
88.44053143652681,101.86694232786027,800,0.01,0.0001,2.0
87.16731079902692,126.34962999720341,1000,0.01,0.0001,2.0
85.76497448012229,152.58439204570035,1200,0.01,0.0001,2.0
84.54885265857514,179.36778573991705,1400,0.01,0.0001,2.0
83.20357970681728,202.89533642184392,1600,0.01,0.0001,2.0
81.52150863855927,227.17716379759347,1800,0.01,0.0001,2.0
80.44937418943476,249.9162825491946,2000,0.01,0.0001,2.0
79.321137076083,273.1168334524676,2200,0.01,0.0001,2.0
78.20825442823849,295.68952987210497,2400,0.01,0.0001,2.0
77.25284180851772,320.2847496673196,2600,0.01,0.0001,2.0
76.1941307748435,343.78901741779435,2800,0.01,0.0001,2.0
75.16508239567833,366.9485299959655,3000,0.01,0.0001,2.0
74.0688420856001,389.41523733546455,3200,0.01,0.0001,2.0
72.87597939669007,414.2414841033874,3400,0.01,0.0001,2.0
71.73459489026017,437.49087796388557,3600,0.01,0.0001,2.0
70.73884861748185,457.2319393293722,3800,0.01,0.0001,2.0
69.70384795027726,480.4924884373377,4000,0.01,0.0001,2.0
68.83647459999477,499.9957297735931,4200,0.01,0.0001,2.0
68.0467721005711,519.651182531601,4400,0.01,0.0001,2.0
67.27009225584024,540.4900649001527,4600,0.01,0.0001,2.0
66.32451402642532,562.1127737876458,4800,0.01,0.0001,2.0
65.60274392693053,581.3659589794861,5000,0.01,0.0001,2.0
64.91100626808823,598.4384326105792,5200,0.01,0.0001,2.0
64.26827560251519,617.4926177382312,5400,0.01,0.0001,2.0
63.61391490174748,635.1869397998994,5600,0.01,0.0001,2.0
63.05342269751245,652.0530458650696,5800,0.01,0.0001,2.0
62.517168516344356,668.7209425529472,6000,0.01,0.0001,2.0
62.0264674983164,684.3223065741645,6200,0.01,0.0001,2.0
61.44134701770106,700.7445702833347,6400,0.01,0.0001,2.0
61.044447338522424,712.2801395297806,6600,0.01,0.0001,2.0
