travelCosts,improvements,steps,pI,pR,maxCosts
93.36270928741386,0.0,0,0.1,0.001,2.0
88.84375261770202,107.77988108002958,100,0.1,0.001,2.0
83.67127739416416,182.82997126756862,200,0.1,0.001,2.0
78.4138204731245,261.0969747513204,300,0.1,0.001,2.0
72.63990158154887,335.6715078330165,400,0.1,0.001,2.0
68.29262745145118,396.1605197795204,500,0.1,0.001,2.0
66.81121192633009,433.96921255126404,600,0.1,0.001,2.0
63.76610018124707,501.42689377794045,700,0.1,0.001,2.0
62.2831528547792,537.0309525971194,800,0.1,0.001,2.0
61.67979373232818,560.8731888257954,900,0.1,0.001,2.0
60.34795279651218,599.9489700085736,1000,0.1,0.001,2.0
59.818682113401934,623.3374068688411,1100,0.1,0.001,2.0
60.073653902804836,631.3603347442944,1200,0.1,0.001,2.0
59.09685287819148,664.3183255561506,1300,0.1,0.001,2.0
58.12815251767327,689.8466839855455,1400,0.1,0.001,2.0
56.853721274879554,726.7179780042516,1500,0.1,0.001,2.0
56.198980376043366,744.9440711747772,1600,0.1,0.001,2.0
56.02734604063297,753.8440712905749,1700,0.1,0.001,2.0
55.839924997848485,757.6279558080674,1800,0.1,0.001,2.0
54.44394571930454,777.7719881814377,1900,0.1,0.001,2.0
55.02842325288192,777.9511309178898,2000,0.1,0.001,2.0
55.145193090028904,779.9514547874369,2100,0.1,0.001,2.0
54.76180080482528,789.400767994897,2200,0.1,0.001,2.0
53.745716740456615,815.7044449833824,2300,0.1,0.001,2.0
52.60301427217102,831.1173099481474,2400,0.1,0.001,2.0
52.59925131828208,834.6497199049418,2500,0.1,0.001,2.0
52.759419118507495,838.7335019678444,2600,0.1,0.001,2.0
52.24257763008805,862.4706477394634,2700,0.1,0.001,2.0
52.71489541471919,870.4384661688323,2800,0.1,0.001,2.0
52.76014602986966,874.7907379744228,2900,0.1,0.001,2.0
52.107168035950444,894.6928980854053,3000,0.1,0.001,2.0
52.414781102627266,895.6984880664281,3100,0.1,0.001,2.0
52.46858328259575,898.9929842414474,3200,0.1,0.001,2.0
52.0092295337058,917.7689719865059,3300,0.1,0.001,2.0
