travelCosts,improvements,steps,pI,pR,maxCosts
93.36270928741386,0.0,0,0.01,0.0001,2.0
92.66707623470433,10.699523181299728,100,0.01,0.0001,2.0
92.28928600319509,17.48511987139066,200,0.01,0.0001,2.0
91.7519218142311,25.72810232565595,300,0.01,0.0001,2.0
91.22367584341171,33.89608863153714,400,0.01,0.0001,2.0
90.67270370047453,42.005975504076204,500,0.01,0.0001,2.0
90.03556105393994,50.74213147452543,600,0.01,0.0001,2.0
89.47806494804583,59.36662553214689,700,0.01,0.0001,2.0
88.86363590285262,67.61014036563944,800,0.01,0.0001,2.0
88.17660213058475,76.40525228607281,900,0.01,0.0001,2.0
87.56775968270456,85.0294724019017,1000,0.01,0.0001,2.0
87.06427415955126,91.88984420376951,1100,0.01,0.0001,2.0
86.70809057468634,98.87159557715937,1200,0.01,0.0001,2.0
86.15509419657319,106.01254846705743,1300,0.01,0.0001,2.0
85.5974447472853,113.22014046852607,1400,0.01,0.0001,2.0
85.09245920280617,120.382238368987,1500,0.01,0.0001,2.0
84.53494636921805,128.33989654502616,1600,0.01,0.0001,2.0
83.94496730445329,135.3064018632507,1700,0.01,0.0001,2.0
83.36318238829708,142.98381439063405,1800,0.01,0.0001,2.0
83.08994173055171,149.03830551292265,1900,0.01,0.0001,2.0
82.67807863018976,154.36936270295195,2000,0.01,0.0001,2.0
82.00457156023027,161.41819886197496,2100,0.01,0.0001,2.0
81.26668137348632,169.7443264405471,2200,0.01,0.0001,2.0
80.59937868888915,177.45277376462997,2300,0.01,0.0001,2.0
79.88113669087346,186.4521053954973,2400,0.01,0.0001,2.0
79.30814528292339,195.25187591705054,2500,0.01,0.0001,2.0
78.79896995227384,203.82443534512973,2600,0.01,0.0001,2.0
78.13662820976275,212.07335688328465,2700,0.01,0.0001,2.0
77.483553833434,220.78193864777555,2800,0.01,0.0001,2.0
76.65125225994703,229.56702044892987,2900,0.01,0.0001,2.0
75.80432922534119,239.57065001250018,3000,0.01,0.0001,2.0
75.29447537485905,248.3222259026491,3100,0.01,0.0001,2.0
74.51878739622381,256.7670324462704,3200,0.01,0.0001,2.0
74.01990711596946,264.4808977294596,3300,0.01,0.0001,2.0
73.44670831425861,273.0195275499706,3400,0.01,0.0001,2.0
72.95777902044445,281.0590443818259,3500,0.01,0.0001,2.0
72.52262237178503,287.95907257288843,3600,0.01,0.0001,2.0
72.12732899283687,295.01031229516536,3700,0.01,0.0001,2.0
71.6648305040628,302.16634076182635,3800,0.01,0.0001,2.0
71.2447161648656,308.9751909010584,3900,0.01,0.0001,2.0
70.76722822241746,315.8584923969257,4000,0.01,0.0001,2.0
70.3156516343653,322.2806026201618,4100,0.01,0.0001,2.0
70.036935164784,327.97609242562146,4200,0.01,0.0001,2.0
69.69538168503622,334.6608280444076,4300,0.01,0.0001,2.0
69.32062734473763,341.7558674862494,4400,0.01,0.0001,2.0
68.9164327036855,347.95262944748924,4500,0.01,0.0001,2.0
68.45027181466966,355.8676240378659,4600,0.01,0.0001,2.0
67.99346518728987,363.2621504117397,4700,0.01,0.0001,2.0
67.50279556393474,369.7460617798739,4800,0.01,0.0001,2.0
67.19662868977392,374.69813710886024,4900,0.01,0.0001,2.0
66.79266634333024,381.14778693517667,5000,0.01,0.0001,2.0
66.38905416390013,387.4984632753327,5100,0.01,0.0001,2.0
66.18527331428558,391.4872618907569,5200,0.01,0.0001,2.0
65.72368127676125,397.59352938715614,5300,0.01,0.0001,2.0
65.34352019420211,403.327340112345,5400,0.01,0.0001,2.0
65.06073899065343,408.8358247278804,5500,0.01,0.0001,2.0
64.5627243737712,415.88985297133166,5600,0.01,0.0001,2.0
64.15183376222888,423.01827158983656,5700,0.01,0.0001,2.0
63.70142960458457,428.9439528850073,5800,0.01,0.0001,2.0
63.34426754184644,433.6509483151949,5900,0.01,0.0001,2.0
62.80898259635526,439.24395701667174,6000,0.01,0.0001,2.0
62.516887039736744,443.5614808798009,6100,0.01,0.0001,2.0
61.94496644304416,450.11365866869335,6200,0.01,0.0001,2.0
61.40878374627625,456.8978639603308,6300,0.01,0.0001,2.0
60.982132747031805,462.00491624033845,6400,0.01,0.0001,2.0
60.56263878845206,467.9287452951038,6500,0.01,0.0001,2.0
60.21868385540429,473.3396444382936,6600,0.01,0.0001,2.0
59.731823188000554,480.075683147714,6700,0.01,0.0001,2.0
59.19728817005034,487.2316636152066,6800,0.01,0.0001,2.0
58.8278473185734,491.89901587525674,6900,0.01,0.0001,2.0
58.48800744978692,498.5066944133987,7000,0.01,0.0001,2.0
58.17315778212832,504.72885062287975,7100,0.01,0.0001,2.0
57.97358092403025,508.6718752600144,7200,0.01,0.0001,2.0
57.6837189585946,514.2714824525225,7300,0.01,0.0001,2.0
57.39020223579045,520.0381611732822,7400,0.01,0.0001,2.0
56.995799591244584,526.7051386312954,7500,0.01,0.0001,2.0
56.73540342526389,531.9899455622676,7600,0.01,0.0001,2.0
56.52808433460178,536.5733353445069,7700,0.01,0.0001,2.0
56.19427836292641,542.5431924331594,7800,0.01,0.0001,2.0
55.977197071680116,548.2854713285296,7900,0.01,0.0001,2.0
55.7524392760007,552.9859955950362,8000,0.01,0.0001,2.0
